
===== 412 =====
role	font	size	wt	lh	tracking	w	h
bar mark	fourzerofourpixel	13px	400	18.85px (1.450)	0.65px (0.0500em)	48	19
bar nav a	fourzerofourpixel	11px	400	15.95px (1.450)	0.55px (0.0500em)	0	0
h1 hero	Helvetica	44px	700	36.96px (0.840)	-2.42px (-0.0550em)	372	111
hero tagline	fourzerofourpixel	11px	400	15.95px (1.450)	0.88px (0.0800em)	372	17
hero p	Helvetica	15px	400	21.75px (1.450)	normal (0)	284	65
hero btn	fourzerofourpixel	12px	400	17.4px (1.450)	0.72px (0.0600em)	133	47
play btn	fourzerofourpixel	10px	400	normal (normal)	0.6px (0.0600em)	48	28
prompt lbl	fourzerofourpixel	10px	400	14.5px (1.450)	0.9px (0.0900em)	261	15
prompt code	ui-monospace	14px	400	20.3px (1.450)	normal (0)	326	66
prompt slot	ui-monospace	15.12px	700	21.924px (1.450)	-0.1512px (-0.0100em)	189	25
prompt button	fourzerofourpixel	10px	400	normal (normal)	0.6px (0.0600em)	60	32
stat b	Helvetica	30px	700	30px (1.000)	-1.5px (-0.0500em)	165	30
stat em	Helvetica	12px	700	12px (1.000)	-0.12px (-0.0100em)	24	14
stat span	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	165	15
section lab	fourzerofourpixel	11px	400	15.95px (1.450)	1.1px (0.1000em)	287	16
h2	Helvetica	26px	700	25.48px (0.980)	-1.17px (-0.0450em)	372	76
p.lead	Helvetica	18px	700	23.4px (1.300)	-0.36px (-0.0200em)	372	94
p.g body	Helvetica	16px	400	23.2px (1.450)	normal (0)	372	116
gal cap	fourzerofourpixel	9px	400	13.05px (1.450)	0.54px (0.0600em)	92	24
gal cap b	fourzerofourpixel	9px	400	13.05px (1.450)	0.54px (0.0600em)	20	11
step n	fourzerofourpixel	10px	400	14.5px (1.450)	normal (0)	12	12
step h3	Helvetica	15px	700	21.75px (1.450)	-0.225px (-0.0150em)	379	22
step p	Helvetica	13px	400	18.85px (1.450)	normal (0)	379	38
step code	ui-monospace	12px	400	17.4px (1.450)	normal (0)	87	16
spec k	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	372	18
spec v	Helvetica	15px	400	21.75px (1.450)	normal (0)	372	22
spec v code	ui-monospace	13px	400	18.85px (1.450)	normal (0)	135	17
prize pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	23	13
prize amt	Helvetica	34px	700	34px (1.000)	-1.87px (-0.0550em)	169	34
prize amt em	Helvetica	11.56px	700	11.56px (1.000)	-1.87px (-0.1618em)	18	14
prize p	Helvetica	13px	400	18.85px (1.450)	normal (0)	169	75
tcell pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	28	13
tcell d	Helvetica	26px	700	37.7px (1.450)	-1.04px (-0.0400em)	173	38
tcell p	Helvetica	13px	400	18.85px (1.450)	normal (0)	173	38
faq summary	Helvetica	16px	700	23.2px (1.450)	-0.32px (-0.0200em)	372	23
faq p	Helvetica	14.5px	400	21.025px (1.450)	normal (0)	340	42
btn	fourzerofourpixel	12px	400	17.4px (1.450)	0.72px (0.0600em)	133	47
footer a	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	41	16
footer pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	47	16
judging p.pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	287	17

===== 768 =====
role	font	size	wt	lh	tracking	w	h
bar mark	fourzerofourpixel	13px	400	18.85px (1.450)	0.65px (0.0500em)	48	19
bar nav a	fourzerofourpixel	11px	400	15.95px (1.450)	0.55px (0.0500em)	18	16
h1 hero	Helvetica	80.64px	700	67.7376px (0.840)	-4.4352px (-0.0550em)	728	203
hero tagline	fourzerofourpixel	11px	400	15.95px (1.450)	0.88px (0.0800em)	728	17
hero p	Helvetica	15px	400	21.75px (1.450)	normal (0)	284	65
hero btn	fourzerofourpixel	12px	400	17.4px (1.450)	0.72px (0.0600em)	133	47
play btn	fourzerofourpixel	10px	400	normal (normal)	0.6px (0.0600em)	48	28
prompt lbl	fourzerofourpixel	10px	400	14.5px (1.450)	0.9px (0.0900em)	261	15
prompt code	ui-monospace	14px	400	20.3px (1.450)	normal (0)	551	45
prompt slot	ui-monospace	15.12px	700	21.924px (1.450)	-0.1512px (-0.0100em)	189	25
prompt button	fourzerofourpixel	10px	400	normal (normal)	0.6px (0.0600em)	60	32
stat b	Helvetica	30.72px	700	30.72px (1.000)	-1.536px (-0.0500em)	343	31
stat em	Helvetica	12.288px	700	12.288px (1.000)	-0.12288px (-0.0100em)	25	14
stat span	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	343	15
section lab	fourzerofourpixel	11px	400	15.95px (1.450)	1.1px (0.1000em)	287	16
h2	Helvetica	30.72px	700	30.1056px (0.980)	-1.3824px (-0.0450em)	728	90
p.lead	Helvetica	18px	700	23.4px (1.300)	-0.36px (-0.0200em)	581	47
p.g body	Helvetica	16px	400	23.2px (1.450)	normal (0)	516	70
gal cap	fourzerofourpixel	9px	400	13.05px (1.450)	0.54px (0.0600em)	92	24
gal cap b	fourzerofourpixel	9px	400	13.05px (1.450)	0.54px (0.0600em)	20	11
step n	fourzerofourpixel	10px	400	14.5px (1.450)	normal (0)	12	12
step h3	Helvetica	15px	700	21.75px (1.450)	-0.225px (-0.0150em)	121	44
step p	Helvetica	13px	400	18.85px (1.450)	normal (0)	121	112
step code	ui-monospace	12px	400	17.4px (1.450)	normal (0)	87	16
spec k	fourzerofourpixel	10px	400	14.5px (1.450)	0.7px (0.0700em)	145	22
spec v	Helvetica	15px	400	21.75px (1.450)	normal (0)	517	22
spec v code	ui-monospace	13px	400	18.85px (1.450)	normal (0)	135	17
prize pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	23	13
prize amt	Helvetica	38.4px	700	38.4px (1.000)	-2.112px (-0.0550em)	155	38
prize amt em	Helvetica	13.056px	700	13.056px (1.000)	-2.112px (-0.1618em)	20	15
prize p	Helvetica	13px	400	18.85px (1.450)	normal (0)	155	75
tcell pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	28	13
tcell d	Helvetica	26px	700	37.7px (1.450)	-1.04px (-0.0400em)	159	38
tcell p	Helvetica	13px	400	18.85px (1.450)	normal (0)	159	38
faq summary	Helvetica	16px	700	23.2px (1.450)	-0.32px (-0.0200em)	728	23
faq p	Helvetica	14.5px	400	21.025px (1.450)	normal (0)	468	42
btn	fourzerofourpixel	12px	400	17.4px (1.450)	0.72px (0.0600em)	133	47
footer a	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	41	16
footer pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	47	16
judging p.pix	fourzerofourpixel	11px	400	15.95px (1.450)	0.66px (0.0600em)	287	17

===== 1024 =====
role	font	size	wt	lh	tracking	w	h
bar mark	fourzerofourpixel	13px	400	18.85px (1.450)	0.65px (0.0500em)	48	19
bar nav a	fourzerofourpixel	11px	400	15.95px (1.450)	0.55px (0.0500em)	18	16
